2014-08-09, Swindon Town, Scunthorpe Utd, 3, 1, vs, TRUE
2014-08-09, Rochdale, P'borough Utd, 0, 1, vs, TRUE
2014-08-09, Bradford City, Coventry City, 3, 2, vs, TRUE
2014-08-09, Colchester Utd, Oldham Athletic, 2, 2, vs, TRUE
2014-08-09, MK Dons, Gillingham, 4, 2, vs, TRUE
2014-08-09, Yeovil Town, Doncaster, 0, 3, vs, TRUE
2014-08-09, Leyton Orient, Chesterfield, 1, 2, vs, TRUE
2014-08-09, Fleetwood Town, Crewe Alexandra, 2, 1, vs, TRUE
2014-08-09, Port Vale, Walsall, 1, 1, vs, TRUE
2014-08-09, Barnsley, Crawley Town, 0, 1, vs, TRUE
2014-08-09, Preston, Notts County, 1, 1, vs, TRUE
2014-08-09, Sheffield Utd, Bristol City, 1, 2, vs, TRUE
2014-08-16, Crewe Alexandra, Barnsley, 1, 2, vs, TRUE
2014-08-16, Gillingham, Yeovil Town, 2, 0, vs, TRUE
2014-08-16, Scunthorpe Utd, Preston, 0, 4, vs, TRUE
2014-08-16, Chesterfield, Rochdale, 2, 1, vs, TRUE
2014-08-16, Doncaster, Port Vale, 1, 3, vs, TRUE
2014-08-16, Notts County, Fleetwood Town, 0, 1, vs, TRUE
2014-08-16, Oldham Athletic, Leyton Orient, 1, 3, vs, TRUE
2014-08-16, Coventry City, Sheffield Utd, 1, 0, vs, TRUE
2014-08-16, Bristol City, Colchester Utd, 2, 1, vs, TRUE
2014-08-16, Walsall, Bradford City, 0, 0, vs, TRUE
2014-08-16, Crawley Town, Swindon Town, 1, 0, vs, TRUE
2014-08-16, P'borough Utd, MK Dons, 3, 2, vs, TRUE
2014-08-19, Chesterfield, MK Dons, 0, 1, vs, TRUE
2014-08-19, Oldham Athletic, Port Vale, 1, 1, vs, TRUE
2014-08-19, Walsall, Yeovil Town, 1, 2, vs, TRUE
2014-08-19, Doncaster, Preston, 1, 1, vs, TRUE
2014-08-19, Gillingham, Swindon Town, 2, 2, vs, TRUE
2014-08-19, Scunthorpe Utd, Fleetwood Town, 0, 2, vs, TRUE
2014-08-19, Notts County, Colchester Utd, 2, 1, vs, TRUE
2014-08-19, Crewe Alexandra, Rochdale, 2, 5, vs, TRUE
2014-08-19, Bristol City, Leyton Orient, 0, 0, vs, TRUE
2014-08-19, Coventry City, Barnsley, 2, 2, vs, TRUE
2014-08-19, Crawley Town, Bradford City, 1, 3, vs, TRUE
2014-08-19, P'borough Utd, Sheffield Utd, 1, 2, vs, TRUE
2014-08-23, Preston, Oldham Athletic, 1, 0, vs, TRUE
2014-08-23, Sheffield Utd, Crawley Town, 1, 0, vs, TRUE
2014-08-23, Swindon Town, Crewe Alexandra, 2, 0, vs, TRUE
2014-08-23, Barnsley, Gillingham, 4, 1, vs, TRUE
2014-08-23, Colchester Utd, Doncaster, 0, 1, vs, TRUE
2014-08-23, Yeovil Town, Scunthorpe Utd, 1, 1, vs, TRUE
2014-08-23, Rochdale, Bristol City, 1, 1, vs, TRUE
2014-08-23, MK Dons, Coventry City, 0, 0, vs, TRUE
2014-08-23, Fleetwood Town, Chesterfield, 0, 0, vs, TRUE
2014-08-23, Port Vale, Notts County, 0, 2, vs, TRUE
2014-08-23, Bradford City, P'borough Utd, 0, 1, vs, TRUE
2014-08-23, Leyton Orient, Walsall, 0, 0, vs, TRUE
2014-08-30, Colchester Utd, P'borough Utd, 1, 3, vs, TRUE
2014-08-30, Fleetwood Town, Leyton Orient, 1, 1, vs, TRUE
2014-08-30, Gillingham, Crewe Alexandra, 2, 0, vs, TRUE
2014-08-30, Doncaster, Oldham Athletic, 0, 2, vs, TRUE
2014-08-30, Yeovil Town, Barnsley, 1, 1, vs, TRUE
