2017-08-05, Exeter City, Cambridge Utd, 1, 0, vs, TRUE
2017-08-05, Crawley Town, Port Vale, 1, 3, vs, TRUE
2017-08-05, FG Rovers, Barnet, 2, 2, vs, TRUE
2017-08-05, Wycombe, Lincoln City, 2, 2, vs, TRUE
2017-08-05, Morecambe, Cheltenham, 2, 1, vs, TRUE
2017-08-05, Acc'ton Stanley, Colchester Utd, 3, 1, vs, TRUE
2017-08-05, Chesterfield, Grimsby Town, 1, 3, vs, TRUE
2017-08-05, Luton Town, Yeovil Town, 8, 2, vs, TRUE
2017-08-05, Crewe Alexandra, Mansfield Town, 2, 2, vs, TRUE
2017-08-05, Coventry City, Notts County, 3, 0, vs, TRUE
2017-08-05, Stevenage, Newport County, 3, 3, vs, TRUE
2017-08-05, Carlisle United, Swindon Town, 1, 2, vs, TRUE
2017-08-12, Yeovil Town, Acc'ton Stanley, 3, 2, vs, TRUE
2017-08-12, Colchester Utd, Stevenage, 1, 1, vs, TRUE
2017-08-12, Cheltenham, Crawley Town, 1, 0, vs, TRUE
2017-08-12, Notts County, Chesterfield, 2, 0, vs, TRUE
2017-08-12, Cambridge Utd, Carlisle United, 1, 2, vs, TRUE
2017-08-12, Crewe Alexandra, Newport County, 1, 1, vs, TRUE
2017-08-12, Barnet, Luton Town, 1, 0, vs, TRUE
2017-08-12, Swindon Town, Exeter City, 1, 1, vs, TRUE
2017-08-12, Lincoln City, Morecambe, 1, 1, vs, TRUE
2017-08-12, Grimsby Town, Coventry City, 0, 2, vs, TRUE
2017-08-12, Port Vale, Wycombe, 2, 3, vs, TRUE
2017-08-12, Mansfield Town, FG Rovers, 2, 0, vs, TRUE
2017-08-19, Exeter City, Lincoln City, 1, 0, vs, TRUE
2017-08-19, Wycombe, Notts County, 2, 4, vs, TRUE
2017-08-19, Crawley Town, Cambridge Utd, 0, 1, vs, TRUE
2017-08-19, FG Rovers, Yeovil Town, 4, 3, vs, TRUE
2017-08-19, Chesterfield, Port Vale, 2, 0, vs, TRUE
2017-08-19, Stevenage, Grimsby Town, 3, 1, vs, TRUE
2017-08-19, Luton Town, Colchester Utd, 3, 0, vs, TRUE
2017-08-19, Acc'ton Stanley, Mansfield Town, 2, 1, vs, TRUE
2017-08-19, Morecambe, Swindon Town, 0, 1, vs, TRUE
2017-08-19, Crewe Alexandra, Barnet, 1, 0, vs, TRUE
2017-08-19, Coventry City, Newport County, 0, 1, vs, TRUE
2017-08-19, Carlisle United, Cheltenham, 3, 0, vs, TRUE
2017-08-25, Notts County, Acc'ton Stanley, 2, 2, vs, TRUE
2017-08-26, Newport County, Chesterfield, 4, 1, vs, TRUE
2017-08-26, Lincoln City, Carlisle United, 4, 1, vs, TRUE
2017-08-26, Swindon Town, Crawley Town, 0, 3, vs, TRUE
2017-08-26, Mansfield Town, Luton Town, 2, 2, vs, TRUE
2017-08-26, Colchester Utd, FG Rovers, 5, 1, vs, TRUE
2017-08-26, Grimsby Town, Wycombe, 2, 3, vs, TRUE
2017-08-26, Yeovil Town, Coventry City, 2, 0, vs, TRUE
2017-08-26, Cambridge Utd, Morecambe, 0, 0, vs, TRUE
