1945-09-08, College All-Stars, Great Lakes Navy, 35, 0, @
1945-09-15, Baylor, Blackland Field, 40, 0, vs
1945-09-15, Bucknell, Scranton, 20, 6, N
1945-09-15, Michigan, Great Lakes Navy, 27, 2, vs
1945-09-15, Tufts, Coast Guard, 14, 6, vs
1945-09-15, West Texas State, Eastern New Mexico, 57, 6, vs
1945-09-15, Wichita State, Doane, 52, 0, vs
1945-09-21, Auburn, Samford, 38, 0, N
1945-09-21, Mississippi, Kentucky, 21, 7, vs
1945-09-21, Southern California, UCLA, 13, 6, @
1945-09-22, Arkansas, Barksdale Field, 12, 6, @
1945-09-22, Baylor, West Texas State, 32, 0, vs
1945-09-22, Clemson, Presbyterian, 76, 0, vs
1945-09-22, Colorado College, Denver, 12, 0, vs
1945-09-22, Corpus Christi NAS, Rice, 26, 13, @
1945-09-22, Duke, South Carolina, 60, 0, vs
1945-09-22, Florida, Camp Blanding, 31, 2, vs
1945-09-22, Fort Warren, Colorado, 6, 0, @
1945-09-22, Georgia, Murray State, 49, 0, vs
1945-09-22, Illinois, Pittsburgh, 23, 6, vs
1945-09-22, Indiana, Michigan, 13, 7, @
1945-09-22, Minnesota, Missouri, 34, 0, vs
1945-09-22, New Mexico, Eastern New Mexico, 78, 0, vs
1945-09-22, North Carolina, Camp Lee, 6, 0, @
1945-09-22, North Carolina State, Milligan, 47, 12, vs
1945-09-22, Northwestern, Iowa State, 18, 6, vs
1945-09-22, Oklahoma, Hondo Field, 21, 6, @
1945-09-22, Purdue, Marquette, 14, 13, vs
1945-09-22, Saint Mary's (CA), California, 20, 13, @
1945-09-22, Southern Methodist, Lackland Field, 51, 0, vs
1945-09-22, Texas, Bergstrom Field, 13, 7, vs
1945-09-22, Texas A&M, Ellington Field, 34, 0, vs
1945-09-22, Texas Christian, Kansas, 18, 0, @
1945-09-22, Texas Tech, Southwestern (TX), 7, 0, vs
1945-09-22, Tulsa, Wichita State, 61, 0, vs
1945-09-22, Villanova, Bucknell, 19, 7, @
1945-09-22, Virginia, Coast Guard, 39, 0, vs
1945-09-22, Virginia Military Institute, Emory & Henry, 37, 0, vs
1945-09-22, West Virginia, Otterbein, 42, 7, vs
1945-09-22, Wisconsin, Great Lakes Navy, 0, 0, @
1945-09-24, Cornell, Syracuse, 26, 14, @
1945-09-28, Detroit Mercy, Alma, 32, 0, vs
1945-09-28, Kansas, Denver, 20, 19, @
1945-09-28, Maryland, Guilford, 60, 6, vs
