2013-04-13, Kansas City, Thorns, 1, 1, vs, TRUE
2013-04-14, Boston, Spirit, 1, 1, vs, TRUE
2013-04-14, Red Stars, Reign, 1, 1, vs, TRUE
2013-04-14, Sky Blue, Flash, 1, 0, vs, TRUE
2013-04-20, Spirit, Flash, 1, 1, vs, TRUE
2013-04-21, Thorns, Reign, 2, 1, vs, TRUE
2013-04-26, Kansas City, Reign, 2, 0, vs, TRUE
2013-04-27, Flash, Boston, 1, 2, vs, TRUE
2013-04-27, Red Stars, Thorns, 0, 2, vs, TRUE
2013-04-27, Spirit, Sky Blue, 1, 2, vs, TRUE
2013-05-01, Flash, Sky Blue, 2, 1, vs, TRUE
2013-05-04, Boston, Red Stars, 4, 1, vs, TRUE
2013-05-04, Reign, Kansas City, 0, 1, vs, TRUE
2013-05-04, Spirit, Thorns, 1, 2, vs, TRUE
2013-05-08, Sky Blue, Red Stars, 1, 1, vs, TRUE
2013-05-11, Flash, Kansas City, 2, 1, vs, TRUE
2013-05-11, Sky Blue, Reign, 2, 0, vs, TRUE
2013-05-11, Spirit, Boston, 1, 1, vs, TRUE
2013-05-12, Red Stars, Thorns, 0, 2, vs, TRUE
2013-05-16, Reign, Spirit, 2, 4, vs, TRUE
2013-05-16, Thorns, Sky Blue, 0, 1, vs, TRUE
2013-05-18, Kansas City, Boston, 2, 0, vs, TRUE
2013-05-19, Reign, Sky Blue, 0, 3, vs, TRUE
2013-05-19, Thorns, Spirit, 2, 0, vs, TRUE
2013-05-24, Flash, Red Stars, 2, 1, vs, TRUE
2013-05-25, Boston, Spirit, 3, 0, vs, TRUE
2013-05-25, Kansas City, Sky Blue, 0, 1, vs, TRUE
2013-05-25, Reign, Thorns, 0, 1, vs, TRUE
2013-06-01, Sky Blue, Boston, 5, 1, vs, TRUE
2013-06-01, Thorns, Red Stars, 0, 2, vs, TRUE
2013-06-05, Boston, Flash, 2, 2, vs, TRUE
2013-06-06, Thorns, Kansas City, 4, 3, vs, TRUE
2013-06-08, Sky Blue, Flash, 0, 3, vs, TRUE
2013-06-09, Red Stars, Boston, 1, 0, vs, TRUE
2013-06-09, Reign, Kansas City, 0, 1, vs, TRUE
2013-06-13, Red Stars, Kansas City, 0, 2, vs, TRUE
2013-06-15, Spirit, Flash, 0, 2, vs, TRUE
2013-06-16, Boston, Sky Blue, 2, 3, vs, TRUE
2013-06-16, Kansas City, Red Stars, 1, 3, vs, TRUE
2013-06-16, Thorns, Reign, 2, 0, vs, TRUE
2013-06-19, Red Stars, Flash, 2, 2, vs, TRUE
2013-06-22, Sky Blue, Thorns, 0, 0, vs, TRUE
2013-06-23, Flash, Reign, 1, 1, vs, TRUE
2013-06-23, Kansas City, Spirit, 2, 0, vs, TRUE
2013-06-26, Boston, Reign, 1, 2, vs, TRUE
2013-06-26, Sky Blue, Kansas City, 2, 2, vs, TRUE
2013-06-28, Flash, Spirit, 4, 0, vs, TRUE
2013-06-29, Reign, Red Stars, 3, 1, vs, TRUE
2013-06-30, Boston, Sky Blue, 3, 2, vs, TRUE
2013-06-30, Kansas City, Thorns, 2, 0, vs, TRUE
2013-07-03, Reign, Boston, 1, 1, vs, TRUE
2013-07-03, Spirit, Kansas City, 1, 1, vs, TRUE
2013-07-04, Red Stars, Flash, 1, 0, vs, TRUE
2013-07-06, Sky Blue, Spirit, 1, 0, vs, TRUE
2013-07-06, Thorns, Boston, 0, 2, vs, TRUE
2013-07-07, Kansas City, Flash, 0, 0, vs, TRUE
2013-07-10, Spirit, Red Stars, 0, 2, vs, TRUE
2013-07-11, Reign, Flash, 3, 2, vs, TRUE
2013-07-13, Sky Blue, Boston, 0, 0, vs, TRUE
2013-07-14, Red Stars, Kansas City, 3, 3, vs, TRUE
2013-07-14, Reign, Spirit, 2, 1, vs, TRUE
2013-07-14, Thorns, Flash, 1, 1, vs, TRUE
2013-07-20, Kansas City, Reign, 2, 0, vs, TRUE
2013-07-20, Red Stars, Spirit, 1, 0, vs, TRUE
2013-07-21, Boston, Thorns, 1, 2, vs, TRUE
2013-07-21, Flash, Sky Blue, 3, 0, vs, TRUE
2013-07-24, Kansas City, Boston, 3, 0, vs, TRUE
2013-07-25, Reign, Red Stars, 4, 1, vs, TRUE
2013-07-27, Spirit, Boston, 2, 5, vs, TRUE
2013-07-28, Sky Blue, Kansas City, 0, 1, vs, TRUE
2013-07-28, Thorns, Red Stars, 3, 3, vs, TRUE
2013-07-31, Flash, Spirit, 3, 0, vs, TRUE
2013-07-31, Thorns, Sky Blue, 3, 1, vs, TRUE
2013-08-03, Boston, Flash, 2, 2, vs, TRUE
2013-08-03, Red Stars, Reign, 3, 1, vs, TRUE
2013-08-03, Sky Blue, Spirit, 1, 0, vs, TRUE
2013-08-04, Thorns, Kansas City, 2, 3, vs, TRUE
2013-08-07, Boston, Thorns, 2, 1, vs, TRUE
2013-08-07, Flash, Reign, 1, 0, vs, TRUE
2013-08-07, Spirit, Red Stars, 1, 0, vs, TRUE
2013-08-10, Boston, Kansas City, 1, 0, vs, TRUE
2013-08-10, Flash, Thorns, 0, 0, vs, TRUE
2013-08-10, Red Stars, Sky Blue, 3, 3, vs, TRUE
2013-08-10, Spirit, Reign, 1, 0, vs, TRUE
2013-08-17, Flash, Boston, 2, 1, vs, TRUE
2013-08-17, Reign, Thorns, 1, 2, vs, TRUE
2013-08-18, Kansas City, Red Stars, 1, 2, vs, TRUE
2013-08-18, Spirit, Sky Blue, 1, 1, vs, TRUE
2013-08-24, Flash, Sky Blue, 2, 0, vs, FALSE
2013-08-24, Kansas City, Thorns, 2, 3, vs, FALSE
2013-08-31, Flash, Thorns, 0, 2, vs, FALSE
2014-04-12, Dash, Thorns, 0, 1, vs, TRUE
2014-04-12, Kansas City, Sky Blue, 1, 1, vs, TRUE
2014-04-13, Reign, Boston, 3, 0, vs, TRUE
2014-04-13, Spirit, Flash, 1, 3, vs, TRUE
2014-04-19, Red Stars, Flash, 1, 0, vs, TRUE
2014-04-19, Sky Blue, Thorns, 1, 1, vs, TRUE
2014-04-19, Spirit, Kansas City, 3, 1, vs, TRUE
2014-04-20, Boston, Dash, 2, 3, vs, TRUE
2014-04-23, Reign, Spirit, 3, 1, vs, TRUE
2014-04-26, Red Stars, Spirit, 0, 1, vs, TRUE
2014-04-26, Thorns, Kansas City, 3, 1, vs, TRUE
2014-04-27, Boston, Sky Blue, 3, 2, vs, TRUE
2014-04-27, Reign, Dash, 2, 0, vs, TRUE
2014-04-30, Kansas City, Red Stars, 1, 0, vs, TRUE
2014-04-30, Sky Blue, Reign, 0, 2, vs, TRUE
2014-05-03, Dash, Kansas City, 0, 4, vs, TRUE
2014-05-03, Flash, Thorns, 1, 1, vs, TRUE
2014-05-03, Sky Blue, Boston, 1, 0, vs, TRUE
2014-05-03, Spirit, Reign, 1, 2, vs, TRUE
2014-05-07, Flash, Kansas City, 2, 1, vs, TRUE
2014-05-07, Sky Blue, Red Stars, 1, 1, vs, TRUE
2014-05-10, Thorns, Reign, 0, 1, vs, TRUE
2014-05-11, Flash, Sky Blue, 2, 0, vs, TRUE
2014-05-11, Kansas City, Spirit, 2, 1, vs, TRUE
2014-05-11, Red Stars, Dash, 1, 0, vs, TRUE
2014-05-14, Dash, Thorns, 0, 1, vs, TRUE
2014-05-14, Reign, Kansas City, 3, 2, vs, TRUE
2014-05-15, Boston, Red Stars, 1, 3, vs, TRUE
2014-05-17, Spirit, Flash, 3, 2, vs, TRUE
2014-05-18, Boston, Red Stars, 1, 4, vs, TRUE
2014-05-18, Kansas City, Dash, 2, 2, vs, TRUE
2014-05-21, Kansas City, Reign, 1, 1, vs, TRUE
2014-05-21, Spirit, Sky Blue, 3, 3, vs, TRUE
2014-05-21, Thorns, Flash, 2, 1, vs, TRUE
2014-05-23, Dash, Red Stars, 1, 3, vs, TRUE
2014-05-24, Thorns, Sky Blue, 0, 1, vs, TRUE
2014-05-25, Boston, Kansas City, 0, 2, vs, TRUE
2014-05-25, Reign, Flash, 2, 2, vs, TRUE
2014-05-26, Spirit, Dash, 3, 2, vs, TRUE
2014-05-28, Boston, Thorns, 4, 1, vs, TRUE
2014-05-28, Sky Blue, Red Stars, 0, 2, vs, TRUE
2014-05-31, Flash, Dash, 1, 2, vs, TRUE
2014-06-01, Boston, Spirit, 2, 3, vs, TRUE
2014-06-01, Sky Blue, Reign, 1, 3, vs, TRUE
2014-06-04, Kansas City, Flash, 1, 0, vs, TRUE
2014-06-04, Red Stars, Spirit, 0, 1, vs, TRUE
2014-06-07, Kansas City, Boston, 2, 0, vs, TRUE
2014-06-07, Reign, Red Stars, 3, 1, vs, TRUE
2014-06-07, Thorns, Flash, 0, 5, vs, TRUE
2014-06-08, Sky Blue, Dash, 0, 3, vs, TRUE
2014-06-11, Boston, Spirit, 2, 0, vs, TRUE
2014-06-11, Dash, Flash, 2, 1, vs, TRUE
2014-06-14, Dash, Kansas City, 1, 2, vs, TRUE
2014-06-15, Red Stars, Sky Blue, 2, 2, vs, TRUE
2014-06-15, Thorns, Spirit, 2, 0, vs, TRUE
2014-06-18, Flash, Red Stars, 2, 0, vs, TRUE
2014-06-19, Boston, Reign, 0, 2, vs, TRUE
2014-06-21, Kansas City, Red Stars, 1, 0, vs, TRUE
2014-06-21, Spirit, Thorns, 1, 6, vs, TRUE
2014-06-22, Flash, Reign, 1, 2, vs, TRUE
2014-06-22, Sky Blue, Boston, 1, 1, vs, TRUE
2014-06-25, Thorns, Sky Blue, 1, 2, vs, TRUE
2014-06-27, Flash, Boston, 2, 1, vs, TRUE
2014-06-28, Dash, Spirit, 0, 1, vs, TRUE
2014-06-28, Kansas City, Thorns, 1, 0, vs, TRUE
2014-06-28, Reign, Sky Blue, 0, 0, vs, TRUE
2014-07-02, Flash, Reign, 1, 2, vs, TRUE
2014-07-02, Spirit, Boston, 3, 3, vs, TRUE
2014-07-04, Thorns, Red Stars, 2, 2, vs, TRUE
2014-07-05, Dash, Flash, 1, 4, vs, TRUE
2014-07-06, Reign, Boston, 3, 2, vs, TRUE
2014-07-06, Sky Blue, Kansas City, 0, 5, vs, TRUE
2014-07-09, Red Stars, Thorns, 1, 1, vs, TRUE
2014-07-11, Dash, Boston, 2, 1, vs, TRUE
2014-07-12, Flash, Spirit, 0, 1, vs, TRUE
2014-07-12, Red Stars, Reign, 1, 0, vs, TRUE
2014-07-13, Thorns, Kansas City, 7, 1, vs, TRUE
2014-07-17, Dash, Spirit, 1, 1, vs, TRUE
2014-07-17, Red Stars, Thorns, 1, 1, vs, TRUE
2014-07-18, Flash, Kansas City, 1, 1, vs, TRUE
2014-07-20, Reign, Red Stars, 1, 1, vs, TRUE
2014-07-20, Sky Blue, Spirit, 4, 2, vs, TRUE
2014-07-20, Thorns, Boston, 6, 3, vs, TRUE
2014-07-23, Spirit, Thorns, 1, 1, vs, TRUE
2014-07-25, Flash, Boston, 2, 4, vs, TRUE
2014-07-26, Red Stars, Dash, 0, 0, vs, TRUE
2014-07-27, Kansas City, Sky Blue, 2, 1, vs, TRUE
2014-07-27, Reign, Thorns, 5, 0, vs, TRUE
2014-07-30, Dash, Reign, 1, 4, vs, TRUE
2014-07-30, Spirit, Kansas City, 2, 1, vs, TRUE
2014-07-31, Sky Blue, Flash, 1, 0, vs, TRUE
