1997-06-21, Cleveland Rockers, Houston Comets, 56, 76, vs
1997-06-21, Los Angeles Sparks, New York Liberty, 57, 67, vs
1997-06-21, Utah Starzz, Sacramento Monarchs, 60, 70, vs
1997-06-22, Phoenix Mercury, Charlotte Sting, 76, 59, vs
1997-06-23, Sacramento Monarchs, New York Liberty, 62, 73, vs
1997-06-23, Utah Starzz, Los Angeles Sparks, 102, 89, vs
1997-06-24, Houston Comets, Phoenix Mercury, 70, 55, vs
1997-06-25, Los Angeles Sparks, Charlotte Sting, 74, 54, vs
1997-06-26, Cleveland Rockers, Utah Starzz, 74, 63, vs
1997-06-26, Houston Comets, New York Liberty, 60, 62, vs
1997-06-26, Sacramento Monarchs, Charlotte Sting, 78, 70, vs
1997-06-27, Los Angeles Sparks, Sacramento Monarchs, 93, 73, vs
1997-06-28, Cleveland Rockers, Phoenix Mercury, 63, 68, vs
1997-06-28, Utah Starzz, Houston Comets, 58, 76, vs
1997-06-29, Charlotte Sting, Cleveland Rockers, 67, 44, vs
1997-06-29, New York Liberty, Phoenix Mercury, 65, 57, vs
1997-06-30, Houston Comets, Los Angeles Sparks, 71, 66, vs
1997-07-02, New York Liberty, Houston Comets, 72, 67, vs
1997-07-02, Sacramento Monarchs, Utah Starzz, 68, 73, vs
1997-07-03, Cleveland Rockers, Los Angeles Sparks, 62, 74, vs
1997-07-03, Utah Starzz, Phoenix Mercury, 55, 77, vs
1997-07-04, Houston Comets, New York Liberty, 58, 65, vs
1997-07-05, Charlotte Sting, Los Angeles Sparks, 78, 66, vs
1997-07-05, Utah Starzz, New York Liberty, 53, 66, vs
1997-07-06, Sacramento Monarchs, Cleveland Rockers, 70, 67, vs
1997-07-07, Houston Comets, Charlotte Sting, 74, 56, vs
1997-07-07, Los Angeles Sparks, Cleveland Rockers, 70, 81, vs
1997-07-07, Phoenix Mercury, New York Liberty, 69, 50, vs
1997-07-07, Utah Starzz, Sacramento Monarchs, 69, 79, vs
1997-07-09, Charlotte Sting, New York Liberty, 87, 69, vs
1997-07-09, Phoenix Mercury, Houston Comets, 69, 64, vs
1997-07-10, Cleveland Rockers, Sacramento Monarchs, 77, 61, vs
1997-07-10, New York Liberty, Charlotte Sting, 62, 48, vs
1997-07-11, Los Angeles Sparks, Utah Starzz, 75, 68, vs
1997-07-12, Charlotte Sting, Cleveland Rockers, 72, 43, vs
1997-07-12, Houston Comets, Sacramento Monarchs, 89, 61, vs
1997-07-12, Utah Starzz, Phoenix Mercury, 52, 51, vs
1997-07-13, Los Angeles Sparks, Phoenix Mercury, 56, 57, vs
1997-07-14, Cleveland Rockers, New York Liberty, 57, 68, vs
1997-07-14, Houston Comets, Utah Starzz, 79, 56, vs
1997-07-15, New York Liberty, Cleveland Rockers, 76, 59, vs
1997-07-15, Sacramento Monarchs, Los Angeles Sparks, 78, 73, vs
1997-07-16, Charlotte Sting, Utah Starzz, 75, 63, vs
1997-07-16, Los Angeles Sparks, Houston Comets, 77, 52, vs
1997-07-16, Phoenix Mercury, Sacramento Monarchs, 84, 67, vs
1997-07-17, Cleveland Rockers, Charlotte Sting, 65, 47, vs
1997-07-17, New York Liberty, Utah Starzz, 80, 54, vs
1997-07-18, Sacramento Monarchs, Houston Comets, 60, 82, vs
1997-07-19, Cleveland Rockers, Utah Starzz, 95, 68, vs
1997-07-19, New York Liberty, Los Angeles Sparks, 69, 57, vs
1997-07-21, Charlotte Sting, Los Angeles Sparks, 75, 64, vs
1997-07-21, Sacramento Monarchs, Phoenix Mercury, 57, 70, vs
1997-07-22, New York Liberty, Utah Starzz, 71, 78, vs
1997-07-22, Phoenix Mercury, Houston Comets, 69, 77, vs
1997-07-23, Charlotte Sting, New York Liberty, 63, 65, vs
1997-07-23, Los Angeles Sparks, Cleveland Rockers, 85, 89, vs
1997-07-25, Phoenix Mercury, Los Angeles Sparks, 83, 86, vs
1997-07-25, Sacramento Monarchs, Houston Comets, 76, 86, vs
1997-07-26, New York Liberty, Charlotte Sting, 61, 64, vs
1997-07-26, Utah Starzz, Cleveland Rockers, 66, 77, vs
1997-07-27, Sacramento Monarchs, Los Angeles Sparks, 62, 84, vs
1997-07-28, Phoenix Mercury, Cleveland Rockers, 64, 76, vs
1997-07-29, Houston Comets, Cleveland Rockers, 64, 73, vs
1997-07-30, Charlotte Sting, Phoenix Mercury, 68, 67, vs
1997-07-30, Los Angeles Sparks, Utah Starzz, 91, 69, vs
1997-07-30, New York Liberty, Sacramento Monarchs, 73, 68, vs
1997-07-31, Cleveland Rockers, Phoenix Mercury, 79, 67, vs
1997-08-01, Charlotte Sting, Sacramento Monarchs, 85, 61, vs
1997-08-01, Los Angeles Sparks, Houston Comets, 57, 81, vs
1997-08-02, Cleveland Rockers, Sacramento Monarchs, 72, 51, vs
1997-08-02, New York Liberty, Phoenix Mercury, 80, 70, vs
1997-08-02, Utah Starzz, Houston Comets, 74, 63, vs
1997-08-03, Los Angeles Sparks, Charlotte Sting, 70, 77, vs
1997-08-04, Phoenix Mercury, Sacramento Monarchs, 83, 60, vs
1997-08-04, Utah Starzz, Charlotte Sting, 73, 70, vs
1997-08-05, Cleveland Rockers, Houston Comets, 66, 76, vs
1997-08-05, New York Liberty, Los Angeles Sparks, 50, 67, vs
1997-08-06, Phoenix Mercury, Utah Starzz, 78, 46, vs
1997-08-06, Sacramento Monarchs, Charlotte Sting, 77, 64, vs
1997-08-07, Cleveland Rockers, Los Angeles Sparks, 84, 87, vs
1997-08-07, Houston Comets, Phoenix Mercury, 74, 70, vs
1997-08-08, Sacramento Monarchs, Utah Starzz, 93, 78, vs
1997-08-09, Charlotte Sting, Phoenix Mercury, 79, 59, vs
1997-08-09, Houston Comets, Los Angeles Sparks, 72, 71, vs
1997-08-10, Sacramento Monarchs, New York Liberty, 76, 69, vs
1997-08-11, Charlotte Sting, Houston Comets, 62, 72, vs
1997-08-11, Utah Starzz, Cleveland Rockers, 59, 74, vs
1997-08-12, Houston Comets, Utah Starzz, 76, 56, vs
1997-08-12, Phoenix Mercury, New York Liberty, 77, 67, vs
1997-08-12, Sacramento Monarchs, Cleveland Rockers, 81, 76, vs
1997-08-14, Charlotte Sting, Sacramento Monarchs, 68, 51, vs
1997-08-14, Phoenix Mercury, Cleveland Rockers, 61, 55, vs
1997-08-15, New York Liberty, Sacramento Monarchs, 79, 63, vs
1997-08-16, Charlotte Sting, Houston Comets, 80, 71, vs
1997-08-16, Utah Starzz, Los Angeles Sparks, 64, 74, vs
1997-08-17, Cleveland Rockers, Charlotte Sting, 81, 49, vs
1997-08-17, New York Liberty, Houston Comets, 55, 70, vs
1997-08-17, Phoenix Mercury, Utah Starzz, 71, 63, vs
1997-08-18, Los Angeles Sparks, Phoenix Mercury, 75, 66, vs
1997-08-19, Houston Comets, Charlotte Sting, 77, 69, vs
1997-08-19, Utah Starzz, New York Liberty, 81, 75, vs
1997-08-20, Los Angeles Sparks, New York Liberty, 78, 76, vs
1997-08-20, Sacramento Monarchs, Phoenix Mercury, 54, 69, vs
1997-08-21, Houston Comets, Cleveland Rockers, 75, 76, vs
1997-08-21, Utah Starzz, Charlotte Sting, 56, 66, vs
1997-08-22, Los Angeles Sparks, Sacramento Monarchs, 88, 77, vs
1997-08-22, Phoenix Mercury, Charlotte Sting, 78, 63, vs
1997-08-23, Cleveland Rockers, New York Liberty, 72, 71, vs
1997-08-24, Charlotte Sting, Utah Starzz, 70, 52, vs
1997-08-24, Houston Comets, Sacramento Monarchs, 58, 68, vs
1997-08-24, New York Liberty, Cleveland Rockers, 79, 72, vs
1997-08-24, Phoenix Mercury, Los Angeles Sparks, 73, 68, vs
1997-08-28, Houston Comets, Charlotte Sting, 70, 54, vs
